Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
BCO,,,666.8800048828125,350.0,680.0,9369,182.0,651.0,5882,800.0,500.0,799.0,8448,50.0,650.0,17634,660.0,,,0,,,0,630.0,470.0,699.0,21819,870.0,630.0,12870,640.0,200.0,747.0,200,,,0,682.0,2450.0,681.0,11340,4000.0,620.0,5500
BDE,850.0,2700.0,2700.0,100.0,2700.0,106,2.0,2650.0,1254,2677.5,8.0,2690.0,110,250.0,2600.0,980,2000.0,100.0,2800.0,100,,,0,2700.0,14.0,2500.0,118,362.0,2430.0,2086,2700.0,97.0,2700.0,117,50.0,2000.0,50,2700.0,100.0,2700.0,100,50.0,1550.0,1176
BE,,,1309.8299560546875,1804.0,1500.0,25225,196.0,1300.0,1009,1480.0,30.0,1650.0,5023,979.0,1480.0,1501,2900.0,42.0,2900.0,142,,,0,1630.0,441.0,1630.0,41832,1000.0,1510.0,4802,1700.0,18.0,1700.0,18,,,0,1740.0,97.0,1740.0,10846,,,0
BEA,84.0,,362.2300109863281,756.0,368.0,12973,7273.0,340.0,8473,301.0,100.0,335.0,15629,666.0,330.0,6968,250.0,,,0,,,0,306.0,1070.0,355.0,37375,2500.0,306.0,13566,250.0,44.0,300.0,595,181.0,250.0,1181,321.0,100.0,350.0,19935,404.0,321.0,26436
BER,,,400.0,3559.0,490.0,41894,2500.0,400.0,7500,370.0,11032.0,517.0,22122,,,0,500.0,,,0,,,0,275.0,2759.0,365.0,62178,8698.0,275.0,21763,117.5500030517578,50.0,551.0,50,,,0,250.0,1000.0,384.0,21276,500.0,175.0,500
BFP,,,18000.0,2.0,25000.0,2,,,0,22000.0,1.0,25000.0,1,,,0,20224.419921875,,,0,,,0,24000.0,,,0,,,0,20224.419921875,,,0,,,0,20224.419921875,2.0,25000.0,2,,,0
BFR,,,3500.0,10.0,6000.0,26,23.0,3500.0,23,6000.0,5.0,5800.0,26,,,0,2515.219970703125,,,0,,,0,4060.139892578125,14.0,4100.0,19,,,0,2515.219970703125,,,0,,,0,9800.0,1.0,10000.0,1,,,0
BGC,,,649.0,170.0,649.0,19327,100.0,621.0,9798,715.0,1000.0,714.0,7501,1500.0,600.0,2964,600.0,36.0,600.0,36,,,0,600.0,3.0,624.0,13934,1364.0,600.0,4364,500.0,100.0,720.0,100,,,0,503.6799926757813,1000.0,750.0,1002,350.0,500.0,350
BGO,,,2360.0,25.0,2700.0,13043,300.0,2400.0,4010,2600.0,3.0,2600.0,705,390.0,2300.0,660,2000.0,,,0,,,0,2230.0,9.0,2330.0,5736,2039.0,2230.0,4664,2300.0,50.0,2500.0,60,,,0,2390.0,50.0,2300.0,1492,50.0,2010.0,350
BGS,,,218000.0,1.0,218000.0,4,1.0,160000.0,1,199000.0,6.0,199000.0,6,,,0,87483.4765625,,,0,,,0,200000.0,6.0,200000.0,6,,,0,87483.4765625,,,0,,,0,199000.0,4.0,199000.0,33,1.0,1.0,1
