Ticker,Exchange,Category,Tier,Ask_Price,Bid_Price,Supply,Demand,Traded,Saturation,Input_Cost,Profit_Ask,Profit_Bid,ROI_Ask,ROI_Bid,Investment_Score,Risk,Viability,Input Cost per Unit,Input Cost per Stack,Input Cost per Hour,Recipe,Building
BFR,AI1,ship engines,2.0,4500.0,3500.0,28.0,28.0,2.0,100.0,0.0,4500.0,3500.0,0,0,0.0,High,Unknown,4026.3000005558133,4026.3000005558133,335.52500004631776,FS:1xAL-1xSTL=>1xBFR,FS
BGC,AI1,electronic pieces,2.0,649.0,620.0,19367.0,9698.0,210.0,199.7,0.0,649.0,620.0,0,0,0.0,Low,Unknown,585.1379943113029,5851.379943113029,812.6916587656984,FS:1xBGO-300xPE=>10xBGC,FS
BGO,AI1,alloys,2.0,2400.0,2250.0,13106.0,3257.0,377.0,200.0,0.0,2400.0,2250.0,0,0,0.0,Low,Unknown,1674.36800008893,8371.84000044465,872.0666667129844,FS:4xAU-1xFE=>5xBGO,FS
BGS,AI1,ship parts,4.0,218000.0,195000.0,4.0,2.0,1.0,200.0,0.0,218000.0,195000.0,0,0,0.0,Medium,Unknown,174045.20000902563,174045.20000902563,4834.588889139601,SPP:14xFAL-4xKV-80xPG=>1xBGS,SPP
BHP,AI1,ship parts,3.0,4600.0,3100.0,3537.0,432.0,2908.0,200.0,0.0,4600.0,3100.0,0,0,0.0,High,Unknown,3543.7760000666976,14175.10400026679,1968.7644444814987,HWP:12xAL-1xHE-1xSTL=>4xBHP,HWP
BID,AI1,electronic devices,2.0,100000.0,0.0,133.0,0.0,48.0,100.0,0.0,100000.0,0.0,0,0,0.0,High,Unknown,76533.19000016674,153066.38000033348,21259.21944449076,EDM:2xCD-1xKV-2xSAR=>2xBID,EDM
BL,AI1,chemicals,3.0,8500.0,7500.0,502.0,130.0,30.0,200.0,0.0,8500.0,7500.0,0,0,0.0,Medium,Unknown,3359.8700009852646,6719.740001970529,279.98916674877205,LAB:1xF-1xO=>2xBL,LAB
BLE,AI1,chemicals,3.0,2300.0,1670.0,2517.0,586.0,97.0,200.0,0.0,2300.0,1670.0,0,0,0.0,High,Unknown,692.3180008518696,2769.272003407478,144.2329168441395,LAB:10xNAB-2xO-3xS=>4xBLE,LAB
BLE,AI1,chemicals,3.0,2300.0,1670.0,2517.0,586.0,97.0,200.0,0.0,2300.0,1670.0,0,0,0.0,High,Unknown,1569.6066672494014,4708.820001748204,392.40166681235036,LAB:1xCL-1xNA-1xO=>3xBLE,LAB
BMF,AI1,electronic devices,3.0,30000.0,27000.0,463.0,309.0,143.0,149.84,0.0,30000.0,27000.0,0,0,0.0,Low,Unknown,13885.140001314283,13885.140001314283,826.4964286496597,ELP:1xDCL-1xFAN-1xMB-1xTPU=>1xBMF,ELP
BND,AI1,medical equipment,3.0,225.0,0.0,4482.0,0.0,3482.0,100.0,0.0,225.0,0.0,0,0,0.0,High,Unknown,547.2730000055582,10945.460000111163,2280.3041666898257,PHF:1xNL-1xSIL=>20xBND,PHF
BOS,AI1,alloys,4.0,4900.0,3210.0,914.0,542.0,32.0,168.63,0.0,4900.0,3210.0,0,0,0.0,High,Unknown,2438.350000752136,9753.400003008544,812.7833335840454,AML:4xAL-1xBOR-1xSI=>4xBOS,AML
BPT,AI1,ship shields,4.0,17000.0,0.0,6.0,0.0,6.0,100.0,0.0,17000.0,0.0,0,0,0.0,High,Unknown,3012.3233335088316,36147.88000210598,4303.31904786976,SPP:20xTHF-5xTHP=>12xBPT,SPP
BR1,AI1,unit prefabs,2.0,940000.0,760000.0,18.0,7.0,1.0,200.0,0.0,940000.0,760000.0,0,0,0.0,Medium,Unknown,560583.2000007748,560583.2000007748,5839.408333341405,UPF:1xCOM-10xFET-1xNV1-10xPSL-20xPSM-5xSAR=>1xBR1,UPF
BR2,AI1,unit prefabs,2.0,899000.0,0.0,7.0,0.0,1.0,100.0,0.0,899000.0,0.0,0,0,0.0,High,Unknown,842429.0000009686,842429.0000009686,7020.241666674739,UPF:1xCOM-10xFET-1xNV2-10xPSL-20xPSM-10xSAR=>1xBR2,UPF
BRO,AI1,alloys,2.0,2530.0,2020.0,2984.0,239.0,96.0,200.0,0.0,2530.0,2020.0,0,0,0.0,High,Unknown,1843.6133334815502,5530.84000044465,576.1291667129844,FS:1xAL-2xCU=>3xBRO,FS
BRP,AI1,ship shields,4.0,5990.0,4000.0,96.0,30.0,72.0,200.0,0.0,5990.0,4000.0,0,0,0.0,High,Unknown,5887.8933335339025,70654.72000240683,7359.866666917378,SPP:2xKV-5xLST=>12xBRP,SPP
BRS,AI1,unit prefabs,2.0,600000.0,380000.0,1.0,5.0,1.0,20.0,0.0,600000.0,380000.0,0,0,0.0,High,Unknown,367037.40000058117,367037.40000058117,5097.741666674739,UPF:10xPSL-20xPSM-4xRAD-5xSAR-10xTI=>1xBRS,UPF
BSC,AI1,electronic devices,3.0,53000.0,46000.0,109.0,66.0,20.0,165.15,0.0,53000.0,46000.0,0,0,0.0,Medium,Unknown,40365.57000050023,40365.57000050023,1868.7763889120474,PHF:1xDCM-1xMFK-1xSAR=>1xBSC,PHF
BSE,AI1,construction prefabs,1.0,1900.0,1820.0,108.0,10220.0,100.0,1.06,0.0,1900.0,1820.0,0,0,0.0,Low,Unknown,1735.800000193715,1735.800000193715,289.3000000322858,PP1:1xFE-2xLST=>1xBSE,PP1
BSE,AI1,construction prefabs,1.0,1900.0,1820.0,108.0,10220.0,100.0,1.06,0.0,1900.0,1820.0,0,0,0.0,Low,Unknown,1444.0950000532716,1444.0950000532716,273.50284091918024,PP2:1xAL-2xLST=>1xBSE,PP2
BSU,AI1,unit prefabs,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0,0.0,Low,Unknown,0.0,0.0,0.0,N/A,N/A
BTA,AI1,construction prefabs,1.0,1770.0,1300.0,1095.0,616.0,26.0,177.76,0.0,1770.0,1300.0,0,0,0.0,High,Unknown,1694.979990579486,1694.979990579486,470.8277751609683,PP1:1xFE-50xPE=>1xBTA,PP1
BTA,AI1,construction prefabs,1.0,1770.0,1300.0,1095.0,616.0,26.0,177.76,0.0,1770.0,1300.0,0,0,0.0,High,Unknown,1013.8375000363216,1013.8375000363216,281.6215277878671,PP2:1xAL-1xGL=>1xBTA,PP2
BWH,AI1,ship shields,3.0,9500.0,0.0,120.0,0.0,80.0,100.0,0.0,9500.0,0.0,0,0,0.0,High,Unknown,6784.710400026679,67847.10400026679,9423.208888925943,HWP:4xCF-2xFAL-1xHE-1xKV=>10xBWH,HWP
BWS,AI1,electronic devices,3.0,25000.0,23000.0,465.0,639.0,147.0,72.77,0.0,25000.0,23000.0,0,0,0.0,Low,Unknown,8645.100000938774,8645.100000938774,720.4250000782312,ELP:1xDCM-1xHD-1xMB=>1xBWS,ELP
C,AI1,elements,0.0,928.0,813.0,89277.0,32764.0,492.0,200.0,0.0,928.0,813.0,0,0,0.0,Medium,Unknown,487.9000000968575,1951.60000038743,81.31666668280958,INC:4xGRN=>4xC,INC
C,AI1,elements,0.0,928.0,813.0,89277.0,32764.0,492.0,200.0,0.0,928.0,813.0,0,0,0.0,Medium,Unknown,702.057000031963,2808.228000127852,354.5742424403853,INC:2xGRN-4xHCP-2xMAI=>4xC,INC
C,AI1,elements,0.0,928.0,813.0,89277.0,32764.0,492.0,200.0,0.0,928.0,813.0,0,0,0.0,Medium,Unknown,596.614000063926,2386.456000255704,150.66010102624395,INC:2xGRN-4xHCP=>4xC,INC
C,AI1,elements,0.0,928.0,813.0,89277.0,32764.0,492.0,200.0,0.0,928.0,813.0,0,0,0.0,Medium,Unknown,601.614000063926,2406.456000255704,151.92272728887022,INC:4xHCP-2xMAI=>4xC,INC
C,AI1,elements,0.0,928.0,813.0,89277.0,32764.0,492.0,200.0,0.0,928.0,813.0,0,0,0.0,Medium,Unknown,497.9000000968575,1991.60000038743,82.98333334947625,INC:4xHCP=>4xC,INC
C,AI1,elements,0.0,928.0,813.0,89277.0,32764.0,492.0,200.0,0.0,928.0,813.0,0,0,0.0,Medium,Unknown,497.9000000968575,1991.60000038743,82.98333334947625,INC:4xMAI=>4xC,INC
CA,AI1,elements,2.0,799.0,0.0,46.0,0.0,2.0,100.0,0.0,799.0,0.0,0,0,0.0,High,Unknown,303.7400000581145,303.7400000581145,42.18611111918257,CHP:1xLST=>1xCA,CHP
CAF,AI1,agricultural products,2.0,1380.0,1200.0,6892.0,880.0,34.0,200.0,0.0,1380.0,1200.0,0,0,0.0,Medium,Unknown,1051.4500000484288,2102.9000000968576,350.48333334947625,HYF:22xH2O-3xNS=>2xCAF,HYF
